time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010447900000	20.317	11.3482	4.85147	1.4399	0.478727	lidar	1.89488e-05	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2658	11.5914	4.75727	1.51342	0.555578	radar	10.8357	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3363	11.8337	4.77497	1.51889	0.53174	lidar	4.72259	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3611	12.0692	4.82237	1.52581	0.493912	radar	3.62983	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3457	12.3633	4.91605	1.56566	0.509664	lidar	1.14264	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2974	12.5986	4.84535	1.62223	0.56142	radar	3.34072	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3226	12.8372	4.83837	1.63428	0.544552	lidar	1.81728	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3115	13.0654	4.80722	1.6598	0.545806	radar	2.09224	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2777	13.276	4.75729	1.68864	0.547619	lidar	0.988166	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2398	13.5095	4.76423	1.71519	0.542422	radar	1.2883	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2171	13.7725	4.81176	1.73785	0.537591	lidar	1.3396	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.163	13.9971	4.77931	1.77348	0.553617	radar	0.861993	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1055	14.2567	4.82913	1.80398	0.556404	lidar	0.388691	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.034	14.4848	4.82483	1.83568	0.559471	radar	1.38558	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9227	14.745	4.89478	1.88031	0.576576	lidar	1.24529	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8566	14.9615	4.8752	1.8977	0.554701	radar	3.37295	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8278	15.1758	4.82098	1.90652	0.535372	lidar	2.12724	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6989	15.3822	4.75691	1.97913	0.62202	radar	7.99824	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
